Date,Market,Code,Name,Variety,High,Mid,Low,Avg,Volume
114/12/18,一市,FV0,辣椒,其他,109.3,88,279.3,78.1,33.0
114/12/18,一市,FV1,辣椒,紅小,127.0,"1,390",181.5,125.1,78.3
114/12/18,一市,FV2,辣椒,青小,52.8,534,64.7,54.2,36.5
114/12/18,一市,FV3,辣椒,雞心,236.0,5,240.0,236.7,230.0
114/12/18,一市,FV4,辣椒,朝天椒,183.2,"2,221",202.5,187.0,152.6
114/12/18,一市,FV6,辣椒,糯米椒,126.8,"1,347",176.9,125.9,79.3
114/12/18,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/18,一市,FV91,辣椒,進口,129.3,300,138.3,127.8,125.0
114/12/18,一市,FV91,辣椒,進口紅小,129.3,300,138.3,127.8,125.0
114/12/17,一市,FV0,辣椒,其他,108.7,144,248.3,78.3,60.0
114/12/17,一市,FV1,辣椒,紅小,117.7,"1,892",185.1,112.0,67.2
114/12/17,一市,FV2,辣椒,青小,63.1,520,80.0,66.0,37.7
114/12/17,一市,FV3,辣椒,雞心,206.7,9,220.0,204.4,200.0
114/12/17,一市,FV4,辣椒,朝天椒,172.9,"2,520",202.3,178.5,126.9
114/12/17,一市,FV6,辣椒,糯米椒,130.6,"1,442",184.5,130.6,76.7
114/12/17,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/17,一市,FV91,辣椒,進口,129.4,320,140.0,127.3,125.0
114/12/17,一市,FV91,辣椒,進口紅小,129.4,320,140.0,127.3,125.0
114/12/16,一市,FV0,辣椒,其他,129.6,77,270.0,113.9,36.1
114/12/16,一市,FV1,辣椒,紅小,130.4,"1,588",171.7,133.3,80.4
114/12/16,一市,FV2,辣椒,青小,66.9,568,86.7,69.6,39.1
114/12/16,一市,FV3,辣椒,雞心,191.5,26,210.0,189.2,180.0
114/12/16,一市,FV4,辣椒,朝天椒,174.0,"3,437",200.1,175.5,143.3
114/12/16,一市,FV5,辣椒,青龍,86.7,30,100.0,84.4,80.0
114/12/16,一市,FV6,辣椒,糯米椒,153.2,"1,006",198.2,159.5,89.2
114/12/16,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/16,一市,FV91,辣椒,進口,136.6,320,160.9,130.6,130.0
114/12/16,一市,FV91,辣椒,進口紅小,136.6,320,160.9,130.6,130.0
114/12/14,一市,FV0,辣椒,其他,73.2,82,109.0,69.1,49.9
114/12/14,一市,FV1,辣椒,紅小,129.2,"1,474",167.4,130.7,86.5
114/12/14,一市,FV2,辣椒,青小,70.9,197,100.0,76.1,26.4
114/12/14,一市,FV3,辣椒,雞心,247.3,22,250.0,248.8,240.0
114/12/14,一市,FV4,辣椒,朝天椒,196.1,"2,639",235.3,205.5,128.6
114/12/14,一市,FV6,辣椒,糯米椒,145.3,"1,322",204.4,146.6,82.2
114/12/14,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/14,一市,FV91,辣椒,進口,132.0,250,135.0,131.7,130.0
114/12/14,一市,FV91,辣椒,進口紅小,132.0,250,135.0,131.7,130.0
114/12/13,一市,FV0,辣椒,其他,91.9,185,230.0,66.4,30.0
114/12/13,一市,FV1,辣椒,紅小,136.3,"1,961",182.9,136.6,88.6
114/12/13,一市,FV2,辣椒,青小,34.1,542,53.9,34.8,12.4
114/12/13,一市,FV3,辣椒,雞心,247.7,13,300.0,246.2,200.0
114/12/13,一市,FV4,辣椒,朝天椒,187.8,"2,360",223.5,193.5,135.2
114/12/13,一市,FV6,辣椒,糯米椒,140.4,"1,546",217.6,135.9,76.4
114/12/13,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/13,一市,FV91,辣椒,進口,130.5,440,137.4,129.3,127.0
114/12/13,一市,FV91,辣椒,進口紅小,130.5,440,137.4,129.3,127.0
114/12/12,一市,FV0,辣椒,其他,101.1,195,239.9,81.2,22.2
114/12/12,一市,FV1,辣椒,紅小,132.9,"1,824",183.8,134.7,76.7
114/12/12,一市,FV2,辣椒,青小,39.1,534,55.6,38.7,24.1
114/12/12,一市,FV3,辣椒,雞心,250.0,8,300.0,243.3,220.0
114/12/12,一市,FV4,辣椒,朝天椒,172.1,"2,699",217.8,178.3,107.7
114/12/12,一市,FV5,辣椒,青龍,25.0,10,25.0,25.0,25.0
114/12/12,一市,FV6,辣椒,糯米椒,139.2,"1,684",211.0,132.7,86.8
114/12/12,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/12,一市,FV91,辣椒,進口,132.4,510,142.9,132.9,120.0
114/12/12,一市,FV91,辣椒,進口紅小,132.4,510,142.9,132.9,120.0
114/12/10,一市,FV0,辣椒,其他,106.5,111,231.1,87.4,39.2
114/12/10,一市,FV1,辣椒,紅小,122.3,"1,754",168.2,124.8,68.8
114/12/10,一市,FV2,辣椒,青小,40.0,643,55.7,41.7,19.3
114/12/10,一市,FV3,辣椒,雞心,212.9,14,250.0,214.8,170.0
114/12/10,一市,FV4,辣椒,朝天椒,150.4,"2,055",177.5,154.5,110.9
114/12/10,一市,FV6,辣椒,糯米椒,152.9,986,217.1,149.0,100.2
114/12/10,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/10,一市,FV91,辣椒,進口,140.3,245,150.0,138.8,135.0
114/12/10,一市,FV91,辣椒,進口紅小,140.3,245,150.0,138.8,135.0
114/12/09,一市,FV0,辣椒,其他,89.1,74,181.2,79.9,24.7
114/12/09,一市,FV1,辣椒,紅小,123.7,"1,811",180.1,121.8,73.0
114/12/09,一市,FV2,辣椒,青小,51.8,498,68.3,53.3,31.0
114/12/09,一市,FV3,辣椒,雞心,245.4,13,290.8,245.6,199.2
114/12/09,一市,FV4,辣椒,朝天椒,139.3,"2,670",161.5,142.9,106.1
114/12/09,一市,FV6,辣椒,糯米椒,133.4,917,207.7,126.5,79.9
114/12/09,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/09,一市,FV91,辣椒,進口,130.0,371,130.0,130.0,130.0
114/12/09,一市,FV91,辣椒,進口紅小,130.0,371,130.0,130.0,130.0
114/12/07,一市,FV0,辣椒,其他,81.5,131,199.5,58.1,33.9
114/12/07,一市,FV1,辣椒,紅小,141.7,"1,745",181.9,143.1,97.1
114/12/07,一市,FV2,辣椒,青小,51.7,504,68.0,52.4,33.2
114/12/07,一市,FV3,辣椒,雞心,300.0,6,300.0,300.0,300.0
114/12/07,一市,FV4,辣椒,朝天椒,148.3,"2,642",171.4,150.4,118.7
114/12/07,一市,FV6,辣椒,糯米椒,146.7,801,187.7,152.6,88.3
